10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
310.38%;-23.79%;20.66%;-0.028;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
310.19%;-23.99%;25.15%;-1.926;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
310.10%;-24.07%;30.21%;0.363;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
309.97%;-24.20%;28.01%;-0.516;{'roe': 0.5, 'revenue_growth': 0.5}
309.76%;-24.42%;19.51%;0.424;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.3}
309.71%;-24.46%;21.56%;-0.151;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
309.61%;-24.56%;19.41%;-0.453;{'fcfy': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
309.49%;-24.69%;26.77%;-0.606;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
309.43%;-24.75%;21.09%;-0.137;{'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
309.40%;-24.77%;27.07%;-1.173;{'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
309.14%;-25.04%;20.97%;-0.086;{'roic_wacc': 0.8, 'revenue_growth': 0.2}
309.09%;-25.08%;29.91%;-0.53;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
309.07%;-25.10%;16.70%;-0.069;{'roe': 0.6, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
308.99%;-25.19%;23.88%;-1.424;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
308.94%;-25.24%;25.26%;-1.791;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
308.77%;-25.41%;19.01%;-0.113;{'roe': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
308.19%;-25.99%;20.11%;-0.055;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.5}
307.99%;-26.19%;25.76%;-1.709;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.2}
307.78%;-26.40%;21.28%;-0.854;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
307.67%;-26.51%;22.74%;0.02;{'roic_wacc': 0.6, 'revenue_growth': 0.4}
