260.1927313491551 %;{'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.8}
319.4513958236388 %;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
268.31997032879474 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
274.68437899798 %;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
194.28343038474915 %;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
265.48930659588143 %;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
325.91128949897313 %;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
299.0828550745171 %;{'roe': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
399.3771236207771 %;{'roe': 0.6, 'fcfy': 0.3, 'revenue_growth': 0.1}
281.1049589307477 %;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
312.1721981275021 %;{'roe': 0.5, 'fcfy': 0.4, 'revenue_growth': 0.1}
297.03477477139637 %;{'fcfy': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
363.86489760874696 %;{'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
363.97863091659383 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
408.68511789941124 %;{'fcfy': 0.9, 'revenue_growth': 0.1}
259.2540872772516 %;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
337.17004411976916 %;{'fcfy': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
250.68541668501325 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
284.64451170791705 %;{'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.8}
281.6495873971441 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.3}
442.24990068205034 %;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
424.5708899914927 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
281.2118142588765 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
